акад_мический;е,и;Правописание гласных и согласных в корне
губ_рнатор;е,и;Правописание гласных и согласных в корне
заг_релый;о,а,ё;Правописание гласных и согласных в корне
удл_нить;и,ы,е;Правописание гласных и согласных в корне
мех_нический;а,о;Правописание гласных и согласных в корне
сист_матизировать;е,и;Правописание гласных и согласных в корне
тр_нажёр;е,и;Правописание гласных и согласных в корне
экон_мичный;о,а,ё;Правописание гласных и согласных в корне
эл_мент;е,и;Правописание гласных и согласных в корне
вд_леке;а,о;Правописание гласных и согласных в корне
ц_нтральный;е,и;Правописание гласных и согласных в корне
напр_вление;а,о;Правописание гласных и согласных в корне
заг_релый;о,а,ё;Правописание гласных и согласных в корне
раз_бщённый;о,а,ё;Правописание гласных и согласных в корне
зан_маться;и,ы,е;Правописание гласных и согласных в корне
пром_хнуться;а,о;Правописание гласных и согласных в корне
увл_каться;е,и;Правописание гласных и согласных в корне
уст_ревший;а,о;Правописание гласных и согласных в корне
осв_жительный;е,и;Правописание гласных и согласных в корне
оч_щение;и,ы,е;Правописание гласных и согласных в корне
непост_жимый;и,ы,е;Правописание гласных и согласных в корне
экз_менатор;а,о;Правописание гласных и согласных в корне
заг_дать;а,о;Правописание гласных и согласных в корне
р_скошный;о,а,ё;Правописание гласных и согласных в корне
асф_льтированный;а,о;Правописание гласных и согласных в корне
словосоч_тание;е,и;Правописание гласных и согласных в корне
т_рминология;е,и;Правописание гласных и согласных в корне
конс_рвировать;е,и;Правописание гласных и согласных в корне
б_снописец;а,о;Правописание гласных и согласных в корне
сбал_нсированный;а,о;Правописание гласных и согласных в корне
п_лисадник;а,о;Правописание гласных и согласных в корне
прик_снуться;о,а,ё;Правописание гласных и согласных в корне
пр_стиж;е,и;Правописание гласных и согласных в корне
гиги_нический;е,и;Правописание гласных и согласных в корне
д_станционный;и,ы,е;Правописание гласных и согласных в корне
обозн_чение;а,о;Правописание гласных и согласных в корне
преобр_зить;а,о;Правописание гласных и согласных в корне
оч_щение;и,ы,е;Правописание гласных и согласных в корне
обв_нить;и,ы,е;Правописание гласных и согласных в корне
м_нимальный;и,ы,е;Правописание гласных и согласных в корне
